BeelineGPS
timestamp,callsign,audio level,lat,lon,alt,alt units,f_id,serialNum
2017-12-25 06:00:01,Beeline1,0,44.5727,-123.2773,5,ft,1,0000
2017-12-25 06:00:02,Beeline1,0,44.5739,-123.2798,79,ft,1,0000
2017-12-25 06:00:03,Beeline1,0,44.5786,-123.2893,154,ft,1,0000
2017-12-25 06:00:04,Beeline1,0,44.5796,-123.2914,229,ft,1,0000
2017-12-25 06:00:05,Beeline1,0,44.5814,-123.2951,304,ft,1,0000
2017-12-25 06:00:06,Beeline1,0,44.5843,-123.3008,378,ft,1,0000
2017-12-25 06:00:07,Beeline1,0,44.5884,-123.309,453,ft,1,0000
2017-12-25 06:00:08,Beeline1,0,44.594,-123.3101,527,ft,1,0000
2017-12-25 06:00:09,Beeline1,0,44.6012,-123.3115,601,ft,1,0000
2017-12-25 06:00:10,Beeline1,0,44.6103,-123.3133,675,ft,1,0000
2017-12-25 06:00:11,Beeline1,0,44.6114,-123.3156,750,ft,1,0000
2017-12-25 06:00:12,Beeline1,0,44.6128,-123.3183,823,ft,1,0000
2017-12-25 06:00:13,Beeline1,0,44.6144,-123.3215,897,ft,1,0000
2017-12-25 06:00:14,Beeline1,0,44.6163,-123.3253,971,ft,1,0000
2017-12-25 06:00:15,Beeline1,0,44.6185,-123.3297,1045,ft,1,0000
2017-12-25 06:00:16,Beeline1,0,44.621,-123.3347,1118,ft,1,0000
2017-12-25 06:00:17,Beeline1,0,44.6238,-123.3404,1192,ft,1,0000
2017-12-25 06:00:18,Beeline1,0,44.627,-123.3468,1265,ft,1,0000
2017-12-25 06:00:19,Beeline1,0,44.6306,-123.354,1338,ft,1,0000
2017-12-25 06:00:20,Beeline1,0,44.6346,-123.362,1411,ft,1,0000
2017-12-25 06:00:21,Beeline1,0,44.639,-123.3708,1485,ft,1,0000
2017-12-25 06:00:22,Beeline1,0,44.6438,-123.3805,1557,ft,1,0000
2017-12-25 06:00:23,Beeline1,0,44.6491,-123.3816,1630,ft,1,0000
2017-12-25 06:00:24,Beeline1,0,44.6549,-123.3828,1703,ft,1,0000
2017-12-25 06:00:25,Beeline1,0,44.6612,-123.3841,1776,ft,1,0000
2017-12-25 06:00:26,Beeline1,0,44.668,-123.3855,1848,ft,1,0000
2017-12-25 06:00:27,Beeline1,0,44.6754,-123.387,1921,ft,1,0000
2017-12-25 06:00:28,Beeline1,0,44.6833,-123.3886,1993,ft,1,0000
2017-12-25 06:00:29,Beeline1,0,44.6918,-123.3903,2065,ft,1,0000
2017-12-25 06:00:30,Beeline1,0,44.7009,-123.3921,2137,ft,1,0000
2017-12-25 06:00:31,Beeline1,0,44.7107,-123.3941,2210,ft,1,0000
2017-12-25 06:00:32,Beeline1,0,44.7117,-123.3962,2281,ft,1,0000
2017-12-25 06:00:33,Beeline1,0,44.7128,-123.3984,2353,ft,1,0000
2017-12-25 06:00:34,Beeline1,0,44.714,-123.4008,2425,ft,1,0000
2017-12-25 06:00:35,Beeline1,0,44.7152,-123.4033,2497,ft,1,0000
2017-12-25 06:00:36,Beeline1,0,44.7165,-123.4059,2568,ft,1,0000
2017-12-25 06:00:37,Beeline1,0,44.7179,-123.4087,2640,ft,1,0000
2017-12-25 06:00:38,Beeline1,0,44.7194,-123.4116,2711,ft,1,0000
2017-12-25 06:00:39,Beeline1,0,44.7209,-123.4147,2782,ft,1,0000
2017-12-25 06:00:40,Beeline1,0,44.7225,-123.418,2853,ft,1,0000
2017-12-25 06:00:41,Beeline1,0,44.7242,-123.4214,2925,ft,1,0000
2017-12-25 06:00:42,Beeline1,0,44.726,-123.425,2995,ft,1,0000
2017-12-25 06:00:43,Beeline1,0,44.7279,-123.4288,3066,ft,1,0000
2017-12-25 06:00:44,Beeline1,0,44.7299,-123.4327,3137,ft,1,0000
2017-12-25 06:00:45,Beeline1,0,44.732,-123.4368,3208,ft,1,0000
2017-12-25 06:00:46,Beeline1,0,44.7341,-123.4411,3278,ft,1,0000
2017-12-25 06:00:47,Beeline1,0,44.7363,-123.4456,3349,ft,1,0000
2017-12-25 06:00:48,Beeline1,0,44.7386,-123.4503,3419,ft,1,0000
2017-12-25 06:00:49,Beeline1,0,44.741,-123.4552,3489,ft,1,0000
2017-12-25 06:00:50,Beeline1,0,44.7435,-123.4603,3559,ft,1,0000
2017-12-25 06:00:51,Beeline1,0,44.7461,-123.4656,3630,ft,1,0000
2017-12-25 06:00:52,Beeline1,0,44.7488,-123.4711,3699,ft,1,0000
2017-12-25 06:00:53,Beeline1,0,44.7516,-123.4768,3769,ft,1,0000
2017-12-25 06:00:54,Beeline1,0,44.7545,-123.4827,3839,ft,1,0000
2017-12-25 06:00:55,Beeline1,0,44.7576,-123.4888,3909,ft,1,0000
2017-12-25 06:00:56,Beeline1,0,44.7608,-123.4951,3978,ft,1,0000
2017-12-25 06:00:57,Beeline1,0,44.7641,-123.5017,4048,ft,1,0000
2017-12-25 06:00:58,Beeline1,0,44.7675,-123.5085,4117,ft,1,0000
2017-12-25 06:00:59,Beeline1,0,44.771,-123.5155,4186,ft,1,0000
2017-12-25 06:01:00,Beeline1,0,44.7746,-123.5227,4255,ft,1,0000
2017-12-25 06:01:01,Beeline1,0,44.7783,-123.5302,4325,ft,1,0000
2017-12-25 06:01:02,Beeline1,0,44.7822,-123.5379,4393,ft,1,0000
2017-12-25 06:01:03,Beeline1,0,44.7862,-123.5459,4462,ft,1,0000
2017-12-25 06:01:04,Beeline1,0,44.7903,-123.5541,4531,ft,1,0000
2017-12-25 06:01:05,Beeline1,0,44.7945,-123.5626,4600,ft,1,0000
2017-12-25 06:01:06,Beeline1,0,44.7989,-123.5713,4668,ft,1,0000
2017-12-25 06:01:07,Beeline1,0,44.8034,-123.5803,4737,ft,1,0000
2017-12-25 06:01:08,Beeline1,0,44.808,-123.5895,4805,ft,1,0000
2017-12-25 06:01:09,Beeline1,0,44.8127,-123.599,4873,ft,1,0000
2017-12-25 06:01:10,Beeline1,0,44.8176,-123.6088,4941,ft,1,0000
2017-12-25 06:01:11,Beeline1,0,44.8226,-123.6098,5010,ft,1,0000
2017-12-25 06:01:12,Beeline1,0,44.8278,-123.6108,5077,ft,1,0000
2017-12-25 06:01:13,Beeline1,0,44.8331,-123.6119,5145,ft,1,0000
2017-12-25 06:01:14,Beeline1,0,44.8385,-123.613,5213,ft,1,0000
2017-12-25 06:01:15,Beeline1,0,44.8441,-123.6141,5281,ft,1,0000
2017-12-25 06:01:16,Beeline1,0,44.8498,-123.6152,5348,ft,1,0000
2017-12-25 06:01:17,Beeline1,0,44.8557,-123.6164,5416,ft,1,0000
2017-12-25 06:01:18,Beeline1,0,44.8617,-123.6176,5483,ft,1,0000
2017-12-25 06:01:19,Beeline1,0,44.8679,-123.6188,5550,ft,1,0000
2017-12-25 06:01:20,Beeline1,0,44.8742,-123.6201,5617,ft,1,0000
2017-12-25 06:01:21,Beeline1,0,44.8807,-123.6214,5685,ft,1,0000
2017-12-25 06:01:22,Beeline1,0,44.8873,-123.6227,5751,ft,1,0000
2017-12-25 06:01:23,Beeline1,0,44.8941,-123.6241,5818,ft,1,0000
2017-12-25 06:01:24,Beeline1,0,44.901,-123.6255,5885,ft,1,0000
2017-12-25 06:01:25,Beeline1,0,44.9081,-123.6269,5952,ft,1,0000
2017-12-25 06:01:26,Beeline1,0,44.9153,-123.6283,6018,ft,1,0000
2017-12-25 06:01:27,Beeline1,0,44.9227,-123.6298,6085,ft,1,0000
2017-12-25 06:01:28,Beeline1,0,44.9303,-123.6313,6151,ft,1,0000
2017-12-25 06:01:29,Beeline1,0,44.938,-123.6328,6217,ft,1,0000
2017-12-25 06:01:30,Beeline1,0,44.9459,-123.6344,6283,ft,1,0000
2017-12-25 06:01:31,Beeline1,0,44.954,-123.636,6350,ft,1,0000
2017-12-25 06:01:32,Beeline1,0,44.9622,-123.6376,6415,ft,1,0000
